,标题,总价格,单价,地段,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,"
                                  ","
                                      ","
                              ",挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,别墅类型
0,品质小区 户型方正 南北通 双阳台 景观房,508,52124,"['闵行', '老闵行']",丽都城假日景苑,2室2厅1厨1卫,中楼层 (共11层),97.46㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,有,暂无数据,无抵押,共有,已上传房本照片,202509711260,此房满五年只一套，楼层好，位置好，视野开阔，居家装修,丽都城假日景苑在金平路东川路交叉口，离轨道交通5号线金平路站300米，上海闵行置业发展有限公司开发建造的，2009年竣工，和凤凰景苑同一开发商。小区分为总高五楼，六楼的多层。总高九楼和十一楼的小高层。小区环境优雅，自带水景公园。,方方正正的户型， 南北通，双阳台，前后采光无遮挡，亲身体验效果更好,小区生活配套有安宁路菜市场、金平路步行街，欧尚置业广场、千代休闲广场、永乐家电、 苏宁易购、碧江广场，龙湖天街。医院有上海市第五人民医院、复旦肿瘤医院等。银行有中国建设银行、中国工商银行、中国交通银行、中国农业银行。配套成熟,5号线金平路地铁站300米，无缝衔接1号线，23号线地铁（规划中）小区门口多路公交站,,
1,有诗意的房子 全南户型 采光很好 房子满五年 税费少,218,28272,"['闵行', '闵浦']",汇颂南苑,2室2厅1厨1卫,中楼层 (共11层),77.11㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯四户,有,暂无数据,无抵押,非共有,已上传房本照片,202409613965,近地铁，商品房，满五没增值税，少稅房,汇颂南苑小区，2008年的商品房，小区里面也有儿童游乐场，近浦江线闵瑞路站口,空关，看房提前预约。目前还是比较诚意售房的 ，价格还能谈 。,浦江郊野公园约2000米，浦江森林公园约1700米；医院：上海交通大学医学院附属仁济医院南院（三甲医院），复旦大学附属眼耳鼻喉科医院(浦江院区)专科医院；商场：夏威夷广场约1.5公里，满天星广场约900米,楼栋距离小区小门近，出行方便，大门口就有公交浦江1路，还有788路，可以直接坐到沈杜公路站，步行350米可达8号线闵瑞路站,,
2,经典三房 有地下车位不靠马路 非顶楼 客厅宽敞,698,58250,"['闵行', '古美']",莲花公寓(闵行),3室2厅1厨1卫,高楼层 (共6层),119.83㎡,平层,暂无数据,板楼,南,砖混结构,简装,暂无数据,无,暂无数据,无抵押,共有,已上传房本照片,202409610294,有地下车位，位置安静 诚意出售 户型很好的哦,本房适合两代人租住人群，中年人等对环境要求较高的，小区环境好，人文素质高。,大部分客户比较喜欢的南北通户型，主卧客厅朝南带阳台，次卧朝北,小区旁边有平阳菜市场和联华，一个街区外有麦德龙，百安居，南方商城，购物方便！建设 银行 邮政储蓄 工商 银行，为您生活提供便利！湿地公园，为您提供休闲场所！复旦儿科医院，闵行妇幼保健医院。为您提供医疗保障！,"公交车线路：700，867,946,341,171等公交车线路从家门口到 地铁12号线顾戴路站676米， 距离地铁1号线莲花路站1200米",,
3,景谷苑，简装3房，满五视野宽阔，近地铁业主急售,229,27482,"['闵行', '老闵行']",景谷苑,3室2厅1厨1卫,高楼层 (共6层),83.33㎡,平层,暂无数据,板楼,南,混合结构,简装,暂无数据,无,暂无数据,无抵押,共有,已上传房本照片,202509719510,景谷苑，简装3房，满五视野宽阔，近地铁业主急售,小区环境好卫生干净小区内有生活商店购物方便树木多到5号线华宁路地铁站近出行方便闵行景谷二幼公办碧江路xxue公办建立校园网络多媒体教室等教学设施齐全闵行四第中公办以体育艺术科技特色为主聘请名师定期来校,小区内户型较多，总价低，购房者有多种户型选择； 配套齐全，有欧尚，碧江广场等大型商场，居民生活便利。 小区位于板块重要位置，距离5号线华宁路站仅约700米，享受板块内完善的配套设施，生活便捷。小区环境好，卫生干净。小区内有生活商店，购物方便。,小区位于五号线华宁路地铁口，23号线在建从上海体育馆直达，小区门口有公交站点，小区近复旦大学附属第五人民医院，三乙综合类，小区近碧江广场、近龙湖天街，小区一公里在建大型体育场馆和大型休闲公园，小区门口有钱大妈、世纪联华、快克等，购物很方便。,自驾：嘉闵高架5.3公里、S32申嘉湖高速2.4公里、S4沪金高速4.4公里 。公交：江川1路、2路、4路、6路，闵行29路、21路、35路、19路、16路、40路，143路 3.地铁：距离5号线金平路站1.1公里。北达莘庄、对接1号线，到上海南站、徐家汇；南至奉贤。在建23号线。,房子满五年，唯1，税费少，无抵押无贷款，产权清晰，业主诚意出售。,
4,小而精致的小区，地段位置佳，出行便利，配套齐全,375,50621,"['闵行', '颛桥']",剑桥馨苑,2室2厅1厨1卫,低楼层 (共7层),74.08㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯两户,有,暂无数据,有抵押 30万元 中国光大银行股份有限公司上海分行 客户偿还,非共有,已上传房本照片,202509724430,小而精致的小区，地段位置佳，出行便利，熵圈配套齐全,房屋总数：534 户楼幢总数：40 幢，(1)水景：6000平米的活水原生态小区内湖(2)景观绿化：三级绿地构成由公共、半公共到半私密逐渐过度的空间序列(3)chao大栋距：低rong积率和八层电梯房造就了c大栋距，(4)建筑形态：英国建筑师精心设计的地道英伦风格,房型通透，全明，带一个小花园，小而精致，结构好改动，做多种设计,本房是业主当时考虑自住二手买进的，人文环境好，小区内外皆是沿河景观步道，生活休闲雅致 中间楼层，一公里内万达，万科颛桥集生活广场，文体活动馆，菜市场，社区医院齐全，合适一家人居住生活,"1.地铁: 5号线颛桥 公交:颛桥(轨道交通5号线)、沪闵路颛盛路,虹桥5路4路直达虹桥机javascript:;场703,143. 714路莘金专线直达莘庄 2.嘉闵高架，S4直达市区，杭州嘉兴方向",,
5,新加坡风格，公园式社区，人车分流，观水景大平层,1388,75415,"['闵行', '七宝']",皇都花园二期,3室2厅1厨2卫,低楼层 (共20层),184.05㎡,平层,暂无数据,塔楼,东南,钢混结构,精装,三梯六户,有,暂无数据,无抵押,非共有,已上传房本照片,202409181496,位置很好，交易税费比其他人家少35万，诚意卖，可讲价。,皇都花园是马来西亚雨林风，minimalist简约主义典范。 品质高，汇集各界名流；大面积绿化，多种手法打造，移步换景，让居家搬入公园里。华润物业管理，管家服务，每栋楼对应一位楼宇管家，为您的居家打造贴心服务。物业费3.5元。,孕婴老幼;小区人车分流，人文环境好，家有老人，楼层较高，阳光充足，配套齐全，有公园，有菜市场，，带电梯，不临街，距离医院近。,配套齐全，小区2公里以内有大型商场，基本满足居民的日常需求；小区1km范围内有联华、华联、农工商、卜蜂莲花等，都是居民常去的；居小区1000m范围内有全家、快客、好德等多家便利店。大型商场万科购物广场、宝龙城、汇宝、家乐福、维景印象城..,目前在建嘉闵线，预计2027年通车于12号线七莘路地铁交汇，未来12号线延伸至松江洞泾链接9号线，两地互动更为密切，再有就是9号线七宝站，10号线航中路，机场联络线中春路站，开车出行，外环高架，嘉闵高架等等，四通八达,,
6,新空间家园 2室2厅 南 北,535,56698,"['闵行', '莘庄南广场']",新空间家园,2室2厅1厨1卫,中楼层 (共6层),94.36㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,无,暂无数据,有抵押 70万元 业主自还,非共有,已上传房本照片,202509688190,,,,,,,
7,全明一房一厅楼层好位置好采光视野无遮挡,255,50950,"['闵行', '古美']",古美八村,1室1厅1厨1卫,低楼层 (共6层),50.05㎡,平层,暂无数据,板楼,南,砖混结构,简装,暂无数据,无,暂无数据,无抵押,非共有,已上传房本照片,202409479303,业主就这一套，通透，全明户型，视野开阔，采光好，,小区绿化较好，环境安静，日常生活居住条件便利，工联物业管理有限公司，小区地理位置好，,此房视野开阔，比较喜欢采光的，预算不太够的，或者单身上海人士，一个人住的，或者买来用来出租的，做婚房也不用装修，这套房子都比较适合您，可以过来看看,"1，交通：双轨地铁1号和12号线 ，多路公交车直达全市：沪闵线，徐闵线，莲石专线，712,747,150，816，科技幼儿园，3，综合商场：百联南方商城、友谊商城 ，莲花国际广场，家乐福；中庚漫游城，小区后面平阳菜市场！！！4，医院：闵行区中X医院，古美卫生院，","双轨地铁有1号和12号线 ，多路公交车直达上海各区域：沪闵线，徐闵线，莲石专线，712,747,150，816",,
8,12号线顾戴路600米+全明精装南北通+中间楼层,745,70476,"['闵行', '古美']",望族新苑,2室2厅1厨1卫,中楼层 (共14层),105.71㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,有,暂无数据,有抵押,共有,已上传房本照片,202409637887,此房不靠马路，满5年，中间楼层，全明户型，南北双阳台,"：
望族新苑是上海梅苑房地产有限公司开发的楼盘。2004年小区，主打改善型两房和三房，房型都很好，南北直通；距离12号线顾戴路地铁500米。马路对过是复旦大学附属儿科医院，妇幼保健院，还有口腔防治医院等，南侧就是中庚漫游城，百联",改善型客户，需要地铁和电梯，对小区品质有要求 的，欢迎大家来看房,2005年商品房小区，一梯两户，南北双阳台 ，景观楼层，南北通，看房提前联系,"：
休闲公园：出门就是湿地公园，热带风暴、闵行体育公园距离小区距离1.2公里，双拥公园 距离140米 ， 购物亲子：南方购物，莲花国际广场，中庚漫游城，城开优享 银行：2公里内 中农工建四大行都存在，相对便利 地铁：12号线",,
9,莘松九村 2室2厅 南,480,51564,"['闵行', '莘庄北广场']",莘松九村,2室2厅1厨1卫,低楼层 (共6层),93.09㎡,平层,暂无数据,板楼,南,砖混结构,简装,暂无数据,无,暂无数据,无抵押,非共有,已上传房本照片,202509683056,,,,,,,
