,小区名称,具体地址,建成时间,挂牌均价
0,东兰世茗雅苑,(闵行古美)龙茗路1597弄,2004-2006年 ,72434
1,蓝色港湾(公寓),(闵行古美)龙茗路1458弄,2000-2005年 ,69114
2,望族新苑,(闵行古美)万源路400弄,2004-2005年 ,78087
3,龙祥嘉园(公寓),(闵行古美)平阳路1515弄,2008年 ,90532
4,阳光乾城苑(公寓),(闵行古美)星中路1111弄,2004年 ,74695
5,万源城御璄,(闵行古美)古龙路666弄,2014-2017年 ,129341
6,万源城逸郡,(闵行古美)万源路788弄,2008年 ,108794
7,金汇豪庭,(闵行古美)龙茗路2121弄,2006年 ,84260
8,东苑古龙城一期,(闵行古美)古龙路66弄（一期）,2004年 ,76019
9,古美公寓,(闵行古美)平阳路300弄9-10号,2000年 ,59660
10,万源城御溪(别墅),(闵行古美)平吉路688弄,2008年 ,144891
11,春意苑,(闵行古美)虹莘路1518弄28支弄,2001-2002年 ,75449
12,阳光乾城苑(别墅),(闵行古美)星中路1111弄,2004年 ,84076
13,望族新苑,(闵行古美)万源路400弄,2004-2005年 ,78087
14,龙祥嘉园(公寓),(闵行古美)平阳路1515弄,2008年 ,90532
15,风荷云墅(别墅),(闵行古美)顾戴路645弄,2002年 ,000000
16,成亿家园,(闵行古美)顾戴路251弄,2001年 ,66916
17,蔚蓝城市花园,(闵行古美)平吉路88弄,2004年 ,86378
18,万源城尚郡,(闵行古美)万源路580弄,2012年 ,108509
19,景和茗苑,(闵行古美)龙茗路69弄,2004年 ,69642
20,平阳三街坊,(闵行古美)平阳路1375弄,2003年 ,60543
21,平阳绿家园,(闵行古美)古美西路631弄1-224号,2000-2002年 ,63665
22,阳光乾城苑(公寓),(闵行古美)星中路1111弄,2004年 ,74695
23,东苑怡景园,(闵行古美)莲花路1058弄,2003-2008年 ,76313
24,万源城御璄,(闵行古美)古龙路666弄,2014-2017年 ,129341
25,春意苑,(闵行古美)虹莘路1518弄28支弄,2001-2002年 ,75449
26,宁谷国际,(闵行古美)沪闵路7940号,暂无信息 ,000000
27,莲花国际广场,(闵行古美)沪闵路7866弄,2010年 ,000000
28,南方休闲广场,(闵行古美)古方路18号,2005年 ,000000
29,龙祥嘉园(别墅),(闵行古美)平阳路1515弄,2008年 ,000000
30,莲花国际大厦,(闵行古美)沪闵路7866号,暂无信息 ,000000
31,莲花国际广场,(闵行古美)沪闵路7866弄,2010年 ,000000
32,宁谷国际,(闵行古美)沪闵路7940号,暂无信息 ,000000
33,蓝色港湾(别墅),(闵行古美)龙茗路1458弄,2004年 ,000000
34,和润家园(别墅),(闵行古美)龙茗路1897弄,2004年 ,66705
35,平阳路648弄,(闵行古美)平阳路648弄,暂无信息 ,000000
36,平阳路1501号,(闵行古美)平阳路1501号,暂无信息 ,000000
37,晶杰苑,(闵行古美)古美西路399弄,2012年 ,82075
38,同济融创玫瑰公馆,(闵行古美)莲花路1330号,2017-2020年 ,128976
