,小区名称,具体地址,建成时间,挂牌均价
0,华元公寓,(徐汇田林)田林路79弄1-3号,2002年 ,96585
1,泓园,(徐汇衡山路)乌鲁木齐南路167号,2002年 ,207955
2,五洲国际大厦,(徐汇徐家汇)肇嘉浜路807号,2004年 ,000000
3,安福路193号,(徐汇衡山路)安福路193号,2010年 ,000000
4,圣爱大厦,(徐汇徐家汇)漕溪北路88号,2003年 ,000000
5,建国西路363号,(徐汇建国西路)建国西路363号,2010年 ,000000
6,永康路183号,(徐汇建国西路)永康路183号,暂无信息 ,000000
7,复兴西路61号,(徐汇衡山路)复兴西路61号,暂无信息 ,000000
8,吴兴路94号,(徐汇衡山路)吴兴路94号,2005年 ,000000
9,襄阳南路358弄,(徐汇建国西路)襄阳南路358弄,2010年 ,000000
10,泰安路9号,(徐汇衡山路)泰安路9号,暂无信息 ,000000
11,衡山路13号,(徐汇衡山路)衡山路13号,暂无信息 ,000000
12,襄阳北路60号,(徐汇衡山路)襄阳北路60号,暂无信息 ,000000
13,永嘉路350弄,(徐汇建国西路)永嘉路350弄,暂无信息 ,000000
14,淮海中路1485号,(徐汇衡山路)淮海中路1485号,暂无信息 ,000000
15,淮海中路1234号,(徐汇衡山路)淮海中路1234号,暂无信息 ,000000
16,兵工大厦,(徐汇斜土路)肇嘉浜路359号,暂无信息 ,000000
17,兴国路183号,(徐汇衡山路)兴国路183号,暂无信息 ,000000
18,余庆路104号,(徐汇徐家汇)余庆路104号,2005年 ,000000
19,新乐路21号,(徐汇衡山路)新乐路21号,2000年 ,000000
20,龙龙家园,(徐汇龙华)黄石路80弄,2006年 ,000000
21,滨江108(别墅),(徐汇华泾)望月路900弄,2012年 ,000000
22,新乐路22号,(徐汇衡山路)新乐路22号,暂无信息 ,000000
23,永康路191号,(徐汇建国西路)永康路191号,暂无信息 ,000000
24,新概念大厦,(徐汇田林)吴中路39号,暂无信息 ,000000
25,华康大楼,(徐汇衡山路)康平路66号,暂无信息 ,000000
26,学府路80号,(徐汇康健)学府路80号,暂无信息 ,000000
27,中粮大厦,(徐汇斜土路)中山南二路440号,暂无信息 ,000000
28,田林路162号,(徐汇田林)田林路162号,暂无信息 ,000000
29,锦辉大厦,(徐汇田林)吴中路8号,暂无信息 ,000000
30,康健大楼,(徐汇康健)康健路139号,暂无信息 ,000000
31,海洋石油大厦,(徐汇徐家汇)零陵路583号,暂无信息 ,000000
32,大众大厦,(徐汇徐家汇)中山西路1515号,2011-2019年 ,000000
33,徐汇创意阁,(徐汇康健)冠生园路231号,暂无信息 ,000000
34,惠工新村,(徐汇漕河泾)桂林路626弄,暂无信息 ,000000
35,新业大楼,(徐汇漕河泾)田林路388号,暂无信息 ,000000
36,上海数娱大厦,(徐汇徐家汇)番禺路1028弄,暂无信息 ,000000
37,银亿徐汇酩悦,(徐汇斜土路)斜土路1515号,2013年 ,91214
38,莲花大厦,(徐汇漕河泾)田州路159号,2006-2009年 ,000000
39,中海馨园,(徐汇康健)钦州南路8弄,2001-2002年 ,98771
40,旭辉朗香郡,(徐汇华泾)华济路28弄,2011-2013年 ,113559
41,桂林新苑,(徐汇田林)钦州北路492弄1-4号,2004年 ,99483
42,锦馨公寓,(徐汇田林)古井路165号,2004年 ,78776
43,徐汇嘉馨公寓,(徐汇斜土路)医学院路15号,2004年 ,103659
44,北科大厦,(徐汇徐家汇)中山西路1919号,2005年 ,000000
45,亚都国际名园,(徐汇徐家汇)南丹东路300弄,2003年 ,124606
46,万科华尔兹,(徐汇田林)漕宝路77弄,2001年 ,114151
47,天和苑,(徐汇徐家汇)天钥桥路321号,2003年 ,119098
48,华狮国际公寓,(徐汇徐家汇)天钥桥路180弄38号,2003年 ,103843
49,樟树苑,(徐汇徐汇滨江)龙吴路988弄1-24号,2000年 ,71624
50,宏汇大厦,(徐汇徐家汇)漕溪北路468号,2001年 ,88356
51,明华苑,(徐汇徐家汇)南丹路138弄,2002年 ,106346
52,鑫龙苑,(徐汇植物园)石龙路33弄28-32号,2002-2007年 ,89611
53,宛平南苑,(徐汇徐家汇)宛平南路300弄,2005年 ,109433
54,淮海中路1491号,(徐汇衡山路)淮海中路1491号,2005年 ,000000
55,远雄徐汇园,(徐汇斜土路)斜土路1286号,2012年 ,135721
56,徐汇公园道壹号二期臻庭,(徐汇龙华)宾南路19弄,2015-2018年 ,152588
57,凯迪虹桥晶舍,(徐汇漕河泾)桂林路666弄,2014年 ,117497
58,乌鲁木齐南路176号,(徐汇衡山路)乌鲁木齐南路176号,2000年 ,000000
59,龙南公寓,(徐汇龙华)龙水南路269弄,2006年 ,84085
60,徐汇新城(别墅),(徐汇长桥)龙吴路1727弄,2006年 ,85879
61,申圃花园,(徐汇康健)冠生园路221弄,2000年 ,93828
62,徐汇世家花园,(徐汇田林)钦州北路300弄3-10号,2014年 ,97574
63,上海天玺,(徐汇衡山路)襄阳南路99-101号,2013-2014年 ,000000
64,襄阳南路360号,(徐汇建国西路)襄阳南路360号,暂无信息 ,000000
65,云锦东方一期,(徐汇龙华)龙兰路388弄,2014年 ,200446
66,龙漕家园,(徐汇龙华)龙漕路38弄,2003年 ,98096
67,嘉善路69弄,(徐汇建国西路)嘉善路69弄,2000年 ,000000
68,康健星辰,(徐汇康健)浦北路388弄,2000-2001年 ,100961
69,科华公寓,(徐汇田林)钦州路500弄,2002-2004年 ,95125
70,光启城,(徐汇徐家汇)宜山路425号,2011年 ,000000
71,高安路3号,(徐汇衡山路)高安路3号,暂无信息 ,000000
72,紫江国际大厦,(徐汇衡山路)吴兴路281号,暂无信息 ,000000
73,航天公寓二期,(徐汇漕河泾)钦州北路939弄,2010年 ,115826
74,复兴中路1311号,(徐汇建国西路)复兴中路1311号,暂无信息 ,000000
