小区名称,房源数量,平均单价,经度,纬度
丁家弄小区,4,132330,121.436307,31.188334
万科华尔兹,6,115176.33333333333,121.436307,31.188334
万象园,4,63298.5,121.411201,31.162605
三江小区,14,86202.14285714286,121.439673,31.164879
上中路100弄,2,93720,121.433909,31.137357
上师大科技园,2,97311.5,121.414765,31.157867
上影广场(徐汇),1,83949,121.431842,31.199136
上影新村,6,90984,121.461851,31.201525
上方花园,1,420769,121.436307,31.188334
上海师大新村,3,71450.66666666667,121.41712,31.158809
上海新邨,1,151128,121.44663,31.208694
上缝小区,14,75306.5,121.445949,31.172312
世家小区,3,135605.66666666666,121.460852,31.208686
东安一村,3,97153.66666666667,121.436307,31.188334
东安三村,5,88338.6,121.436307,31.188334
东安五村,8,91312.25,121.452592,31.184251
东安四村,1,99530,121.450711,31.186675
东安大楼(徐汇),3,85073.66666666667,121.431842,31.199136
东安花苑,5,78732,121.455633,31.185885
东方巴黎,9,167198.55555555556,121.458761,31.21422
东方时空公寓,6,133076.33333333334,121.427716,31.192807
东方曼哈顿,9,142882.33333333334,121.433831,31.191094
东泉佳苑,1,63560,121.436307,31.188334
东泉小区,10,69556.9,121.443792,31.156163
东湾小区,2,66088,121.458912,31.122769
东航龙华苑,2,84162,121.451843,31.166052
东荡小区,3,84234.33333333333,121.424882,31.150768
丝庐花语,5,117513.6,121.466644,31.196419
中信中山大楼,1,77286,121.446413,31.181396
中信君廷,9,186496.11111111112,121.436307,31.188334
中原新村,3,108585.66666666667,121.539286,31.326535
中山南二路960弄,2,81850.5,121.447528,31.183164
中山新村,2,98284,121.455211,31.19875
中恒苑,6,61261,121.447925,31.139603
中海瀛台,11,112385.54545454546,121.453503,31.140154
中海馨园,11,99946.45454545454,121.428738,31.162025
中漕小区,7,96469.14285714286,121.435454,31.183805
中瑞公寓,1,94696,121.42052,31.18648
中虹汇之苑,2,109292.5,121.430271,31.166806
丰三小区,2,79764.5,121.454454,31.166904
临江豪园,7,130785.14285714286,121.453034,31.183337
久安小区,2,133412,121.446541,31.200009
乌中小区,3,99192,121.446605,31.21193
乐山一村,5,94750.6,121.436307,31.188334
乐山二村,7,93401.42857142857,121.430209,31.197215
乐山八九村,13,87907.92307692308,121.428819,31.193932
乐山六七村,7,96663.28571428571,121.430377,31.195671
乐山四五村,14,93278.71428571429,121.433131,31.196395
乐山大楼,5,97195.6,121.433254,31.196002
乐山路6号,1,85671,121.433202,31.196675
书香苑,8,66375.375,121.428132,31.138211
书香逸居,2,89705.5,121.433914,31.135497
乾骏园,2,78642.5,121.439771,31.166234
乾骏大厦,9,90372.66666666667,121.438135,31.16476
云华小区,1,92434,121.46198,31.200591
云福大厦,3,100825,121.462272,31.202678
亚都国际名园,6,126056.66666666667,121.437833,31.187918
交大公寓,2,85245,121.428614,31.193378
仪表新村,1,79210,121.426481,31.170336
住友公寓,6,79920.66666666667,121.443495,31.175223
体育花苑,4,63354.25,121.430643,31.143065
佳信徐汇公寓,5,79176,121.438077,31.173033
佳安公寓,3,88189.33333333333,121.447111,31.18945
保利星苑,6,112184.5,121.436561,31.164771
保利西岸,4,192827,121.45613,31.180184
俞一小区,14,77281.71428571429,121.452396,31.170457
俞三小区,10,69909.9,121.447695,31.168427
俞二小区,1,71277,121.449905,31.167605
健安坊,8,75463.25,121.424022,31.157133
儿科大楼,2,91180,121.457345,31.198248
兆丰帝景苑,4,111394.25,121.443944,31.195958
兆丰虹桥公寓,4,87745.75,121.423686,31.183363
兆嘉园,2,81862,121.436307,31.188334
光华园,7,85814.85714285714,121.432813,31.14037
光华绿苑,12,68003,121.436307,31.188334
光大会展中心,3,46966.333333333336,121.428891,31.16711
公安大楼(徐汇),9,97603.77777777778,121.431842,31.199136
兴南花园,2,85248.5,121.436307,31.188334
兴国花园,2,181959,121.436307,31.188334
兴国苑,1,142169,121.437787,31.208646
兴国路271弄,4,110506.5,121.437703,31.204934
兴荣苑,10,61544.2,121.431008,31.130491
冠生园路204-212号小区,2,64529,121.428396,31.163695
冠生苑,5,61975.4,121.426404,31.161782
冶金小区(徐汇),3,71220,121.418968,31.168538
凌云新村,30,58271.166666666664,121.417106,31.140692
凯旋一村,7,112775.42857142857,121.436307,31.188334
凯旋花苑,7,110971,121.436307,31.188334
凯旋豪庭,2,95414.5,121.431643,31.183494
凯旋路2280弄 ,3,90120.33333333333,121.42685,31.188041
凯歌公寓,1,98375,121.436307,31.188334
凯翔小区,12,79521.41666666667,121.439011,31.17024
凯迪虹桥晶舍,6,116122,121.413644,31.18155
化工一四村,18,56986.61111111111,121.421928,31.140388
化工二三村,3,56711,121.418575,31.138385
北海大厦,4,78447.25,121.44407,31.183541
医学院路54弄,3,85299,121.457431,31.199717
千鹤小区,2,69842,121.420209,31.178371
华东花苑,17,58406.05882352941,121.43489,31.148816
华中大厦,2,84890,121.421597,31.189699
华元公寓,2,92701,121.419119,31.170335
华利公寓,16,61864.75,121.415203,31.179734
华发小区,11,60248.09090909091,121.452339,31.128135
华容小区,1,93871,121.450037,31.179763
华富小区,3,78829.33333333333,121.441241,31.175786
华建一街坊,1,68609,121.439596,31.120553
华建二街坊,5,62660,121.438716,31.121343
华悦家园,9,88272.66666666667,121.409543,31.165659
华欣家园,12,67372.58333333333,121.460936,31.11959
华沁家园,15,74282.53333333334,121.450626,31.136849
华泾五村,4,54137.5,121.445737,31.119864
华泾四村,1,53095,121.447861,31.120194
华泾绿苑,10,68484,121.449666,31.122398
华港小区,1,107466,121.436307,31.188334
华滨家园,12,76435.5,121.449884,31.139911
华狮国际公寓,2,109631,121.441845,31.190525
华理苑,11,61121,121.420693,31.144217
华绮公寓,2,120421,121.445192,31.203476
华鼎广场,7,79250.14285714286,121.432008,31.180173
华龙公寓(徐汇),2,103496,121.431842,31.199136
华龙新苑小区,11,93874.18181818182,121.456407,31.17454
协合紫薇园,2,100101,121.429852,31.144652
协昌小区,9,82405.22222222222,121.444304,31.179398
南丹公寓,1,91785,121.436307,31.188334
南丹大楼,2,98142,121.441767,31.190044
南丹小区,10,114204.3,121.430324,31.191219
南丹路128弄,8,118024.125,121.432587,31.189083
南天大楼,5,94826.8,121.442592,31.190613
南宜花苑,4,101851,121.42863,31.186938
南山大楼,2,88480,121.430833,31.189499
南林公寓,5,90608.4,121.426681,31.17976
南溪公寓,1,96602,121.438913,31.187801
南站阳光小区,1,54913,121.427938,31.146296
南虹公寓,2,101032.5,121.432022,31.190189
印象欧洲(公寓),4,96363.75,121.458675,31.1175
双峰路8弄,1,83366,121.446093,31.187796
