Unnamed: 0,小区名称,具体地址,建成时间,挂牌均价,经度,纬度,驾车距离(米),所需时间(秒)
0,华元公寓,(徐汇田林)田林路79弄1-3号,2002年 ,96585,121.419255,31.170631,4866,822
1,泓园,(徐汇衡山路)乌鲁木齐南路167号,2002年 ,207955,121.449855,31.201828,2635,611
2,五洲国际大厦,(徐汇徐家汇)肇嘉浜路807号,2004年 ,0,121.447929,31.197974,2653,576
3,安福路193号,(徐汇衡山路)安福路193号,2010年 ,0,121.459263,31.220372,6138,960
4,圣爱大厦,(徐汇徐家汇)漕溪北路88号,2003年 ,0,121.437115,31.191965,3949,773
5,建国西路363号,(徐汇建国西路)建国西路363号,2010年 ,0,121.454228,31.20388,3366,648
6,永康路183号,(徐汇建国西路)永康路183号,暂无信息 ,0,121.455387,31.209773,3919,777
7,复兴西路61号,(徐汇衡山路)复兴西路61号,暂无信息 ,0,121.444497,31.210529,3840,790
8,吴兴路94号,(徐汇衡山路)吴兴路94号,2005年 ,0,121.443408,31.202863,3760,849
9,襄阳南路358弄,(徐汇建国西路)襄阳南路358弄,2010年 ,0,121.457715,31.208116,4023,825
10,泰安路9号,(徐汇衡山路)泰安路9号,暂无信息 ,0,121.438334,31.206064,4514,913
11,衡山路13号,(徐汇衡山路)衡山路13号,暂无信息 ,0,121.443981,31.201255,3418,718
12,襄阳北路60号,(徐汇衡山路)襄阳北路60号,暂无信息 ,0,121.454892,31.219199,6267,983
13,永嘉路350弄,(徐汇建国西路)永嘉路350弄,暂无信息 ,0,121.457202,31.208425,3842,759
14,淮海中路1485号,(徐汇衡山路)淮海中路1485号,暂无信息 ,0,121.446534,31.208871,3686,810
15,淮海中路1234号,(徐汇衡山路)淮海中路1234号,暂无信息 ,0,121.451389,31.213152,4069,881
16,兵工大厦,(徐汇斜土路)肇嘉浜路359号,暂无信息 ,0,121.459944,31.202203,3149,618
17,兴国路183号,(徐汇衡山路)兴国路183号,暂无信息 ,0,121.436221,31.208327,4413,967
18,余庆路104号,(徐汇徐家汇)余庆路104号,2005年 ,0,121.439685,31.202336,3894,753
19,新乐路21号,(徐汇衡山路)新乐路21号,2000年 ,0,121.457324,31.218306,5877,918
20,龙龙家园,(徐汇龙华)黄石路80弄,2006年 ,0,121.452937,31.156816,3633,617
21,滨江108(别墅),(徐汇华泾)望月路900弄,2012年 ,0,121.462277,31.118285,9651,1218
22,新乐路22号,(徐汇衡山路)新乐路22号,暂无信息 ,0,121.457299,31.218379,5875,931
23,永康路191号,(徐汇建国西路)永康路191号,暂无信息 ,0,121.455114,31.209694,3892,775
24,新概念大厦,(徐汇田林)吴中路39号,暂无信息 ,0,121.419274,31.187643,4789,763
25,华康大楼,(徐汇衡山路)康平路66号,暂无信息 ,0,121.443208,31.204237,4150,843
26,学府路80号,(徐汇康健)学府路80号,暂无信息 ,0,121.417002,31.161795,5616,1060
27,中粮大厦,(徐汇斜土路)中山南二路440号,暂无信息 ,0,121.461937,31.1902,1464,282
28,田林路162号,(徐汇田林)田林路162号,暂无信息 ,0,121.412498,31.169329,5531,928
29,锦辉大厦,(徐汇田林)吴中路8号,暂无信息 ,0,121.41963,31.189113,5151,806
30,康健大楼,(徐汇康健)康健路139号,暂无信息 ,0,121.425548,31.165518,4326,881
31,海洋石油大厦,(徐汇徐家汇)零陵路583号,暂无信息 ,0,121.447739,31.188637,2448,569
32,大众大厦,(徐汇徐家汇)中山西路1515号,2011-2019年 ,0,121.42328,31.187277,4322,730
33,徐汇创意阁,(徐汇康健)冠生园路231号,暂无信息 ,0,121.42695,31.163014,5167,847
34,惠工新村,(徐汇漕河泾)桂林路626弄,暂无信息 ,0,121.412094,31.179486,5927,1002
35,新业大楼,(徐汇漕河泾)田林路388号,暂无信息 ,0,121.398206,31.167291,7888,1279
36,上海数娱大厦,(徐汇徐家汇)番禺路1028弄,暂无信息 ,0,121.428099,31.19645,4833,984
37,银亿徐汇酩悦,(徐汇斜土路)斜土路1515号,2013年 ,91214,121.46495,31.199256,3560,589
38,莲花大厦,(徐汇漕河泾)田州路159号,2006-2009年 ,0,121.39496,31.161905,8153,1267
39,中海馨园,(徐汇康健)钦州南路8弄,2001-2002年 ,98771,121.428738,31.162025,4542,945
40,旭辉朗香郡,(徐汇华泾)华济路28弄,2011-2013年 ,113559,121.458994,31.116125,9233,1158
41,桂林新苑,(徐汇田林)钦州北路492弄1-4号,2004年 ,99483,121.415156,31.181841,5031,839
42,锦馨公寓,(徐汇田林)古井路165号,2004年 ,78776,121.417829,31.190104,5233,823
43,徐汇嘉馨公寓,(徐汇斜土路)医学院路15号,2004年 ,103659,121.459554,31.200414,2976,602
44,北科大厦,(徐汇徐家汇)中山西路1919号,2005年 ,0,121.425928,31.183751,5256,858
45,亚都国际名园,(徐汇徐家汇)南丹东路300弄,2003年 ,124606,121.43842,31.188651,3130,635
46,万科华尔兹,(徐汇田林)漕宝路77弄,2001年 ,114151,121.428188,31.169299,4885,1077
47,天和苑,(徐汇徐家汇)天钥桥路321号,2003年 ,119098,121.442619,31.189382,2710,565
48,华狮国际公寓,(徐汇徐家汇)天钥桥路180弄38号,2003年 ,103843,121.441825,31.190592,2857,603
49,樟树苑,(徐汇徐汇滨江)龙吴路988弄1-24号,2000年 ,71624,121.451603,31.148435,4590,735
50,宏汇大厦,(徐汇徐家汇)漕溪北路468号,2001年 ,88356,121.436386,31.186911,3391,646
51,明华苑,(徐汇徐家汇)南丹路138弄,2002年 ,106346,121.432296,31.189061,3915,791
52,鑫龙苑,(徐汇植物园)石龙路33弄28-32号,2002-2007年 ,89611,121.448491,31.157679,3870,682
53,宛平南苑,(徐汇徐家汇)宛平南路300弄,2005年 ,109433,121.44612,31.192352,3504,692
