小区名称,房源数量,平均单价,经度,纬度,驾车距离(米),所需时间(秒)
丁家弄小区,4,132330.0,121.436307,31.188334,3555,743
万科华尔兹,6,115176.33333333331,121.436307,31.188334,3555,744
万象园,4,63298.5,121.411201,31.162605,6016,1311
三江小区,14,86202.14285714286,121.439673,31.164879,3704,846
上中路100弄,2,93720.0,121.433909,31.137357,7442,1102
上师大科技园,2,97311.5,121.414765,31.157867,8026,1303
上影广场(徐汇),1,83949.0,121.431842,31.199136,5524,1138
上影新村,6,90984.0,121.461851,31.201525,3232,681
上方花园,1,420769.0,121.436307,31.188334,3493,763
上海师大新村,3,71450.66666666667,121.41712,31.158809,7999,1229
上海新邨,1,151128.0,121.44663,31.208694,3709,843
上缝小区,14,75306.5,121.445949,31.172312,2999,669
世家小区,3,135605.66666666666,121.460852,31.208686,5251,901
东安一村,3,97153.66666666669,121.436307,31.188334,3555,744
东安三村,5,88338.6,121.436307,31.188334,3555,744
东安五村,8,91312.25,121.452592,31.184251,1634,429
东安四村,1,99530.0,121.450711,31.186675,1657,486
东安大楼(徐汇),3,85073.66666666667,121.431842,31.199136,5524,1138
东安花苑,5,78732.0,121.455633,31.185885,888,234
东方巴黎,9,167198.55555555556,121.458761,31.21422,5561,913
东方时空公寓,6,133076.33333333334,121.427716,31.192807,4540,925
东方曼哈顿,9,142882.33333333334,121.433831,31.191094,3917,949
东泉佳苑,1,63560.0,121.436307,31.188334,3555,743
东泉小区,10,69556.9,121.443792,31.156163,4477,777
东湾小区,2,66088.0,121.458912,31.122769,8510,1076
东航龙华苑,2,84162.0,121.451843,31.166052,2330,475
东荡小区,3,84234.33333333333,121.424882,31.150768,6927,1005
丝庐花语,5,117513.6,121.466644,31.196419,2583,511
中信中山大楼,1,77286.0,121.446413,31.181396,2325,436
中信君廷,9,186496.11111111112,121.436307,31.188334,3493,764
中原新村,3,108585.66666666669,121.539286,31.326535,29456,2397
中山南二路960弄,2,81850.5,121.447528,31.183164,2603,506
中山新村,2,98284.0,121.455211,31.19875,3240,692
中恒苑,6,61261.0,121.447925,31.139603,7088,980
中海瀛台,11,112385.54545454546,121.453503,31.140154,6037,830
中海馨园,11,99946.45454545454,121.428738,31.162025,6591,1195
中漕小区,7,96469.14285714286,121.435454,31.183805,3691,765
中瑞公寓,1,94696.0,121.42052,31.18648,4940,822
中虹汇之苑,2,109292.5,121.430271,31.166806,5095,856
丰三小区,2,79764.5,121.454454,31.166904,2535,462
临江豪园,7,130785.14285714286,121.453034,31.183337,821,259
久安小区,2,133412.0,121.446541,31.200009,2988,663
乌中小区,3,99192.0,121.446605,31.21193,3809,854
乐山一村,5,94750.6,121.436307,31.188334,3493,764
乐山二村,7,93401.42857142857,121.430209,31.197215,5267,1049
乐山八九村,13,87907.92307692308,121.428819,31.193932,4819,1040
乐山六七村,7,96663.28571428572,121.430377,31.195671,5338,1061
乐山四五村,14,93278.71428571428,121.433131,31.196395,4855,944
乐山大楼,5,97195.6,121.433254,31.196002,5004,996
乐山路6号,1,85671.0,121.433202,31.196675,4894,964
