Unnamed: 0,小区名称,具体地址,建成时间,挂牌均价,经度,纬度
0,东兰世茗雅苑,(闵行古美)龙茗路1597弄,2004-2006年 ,72434,121.382442,31.151846
1,蓝色港湾(公寓),(闵行古美)龙茗路1458弄,2000-2005年 ,69114,121.384673,31.146973
2,望族新苑,(闵行古美)万源路400弄,2004-2005年 ,78087,121.396760,31.138638
3,龙祥嘉园(公寓),(闵行古美)平阳路1515弄,2008年 ,90532,121.382954,31.134152
4,阳光乾城苑(公寓),(闵行古美)星中路1111弄,2004年 ,74695,121.370723,31.155316
5,万源城御璄,(闵行古美)古龙路666弄,2014-2017年 ,129341,121.391618,31.147499
6,万源城逸郡,(闵行古美)万源路788弄,2008年 ,108794,121.395928,31.146308
7,金汇豪庭,(闵行古美)龙茗路2121弄,2006年 ,84260,121.380191,31.155673
8,东苑古龙城一期,(闵行古美)古龙路66弄（一期）,2004年 ,76019,121.404107,31.152468
9,古美公寓,(闵行古美)平阳路300弄9-10号,2000年 ,59660,121.403674,31.141785
10,万源城御溪(别墅),(闵行古美)平吉路688弄,2008年 ,144891,121.392319,31.145819
11,春意苑,(闵行古美)虹莘路1518弄28支弄,2001-2002年 ,75449,121.385312,31.127777
12,阳光乾城苑(别墅),(闵行古美)星中路1111弄,2004年 ,84076,121.370723,31.155316
13,望族新苑,(闵行古美)万源路400弄,2004-2005年 ,78087,121.396760,31.138638
14,龙祥嘉园(公寓),(闵行古美)平阳路1515弄,2008年 ,90532,121.382954,31.134152
15,风荷云墅(别墅),(闵行古美)顾戴路645弄,2002年 ,0,121.396986,31.141319
16,成亿家园,(闵行古美)顾戴路251弄,2001年 ,66916,121.403054,31.143937
17,蔚蓝城市花园,(闵行古美)平吉路88弄,2004年 ,86378,121.403745,31.151074
18,万源城尚郡,(闵行古美)万源路580弄,2012年 ,108509,121.397789,31.144108
19,景和茗苑,(闵行古美)龙茗路69弄,2004年 ,69642,121.390071,31.124786
20,平阳三街坊,(闵行古美)平阳路1375弄,2003年 ,60543,121.387067,31.134200
21,平阳绿家园,(闵行古美)古美西路631弄1-224号,2000-2002年 ,63665,121.390547,31.130733
22,阳光乾城苑(公寓),(闵行古美)星中路1111弄,2004年 ,74695,121.370723,31.155316
23,东苑怡景园,(闵行古美)莲花路1058弄,2003-2008年 ,76313,121.398669,31.151641
24,万源城御璄,(闵行古美)古龙路666弄,2014-2017年 ,129341,121.391618,31.147499
25,春意苑,(闵行古美)虹莘路1518弄28支弄,2001-2002年 ,75449,121.385312,31.127777
26,宁谷国际,(闵行古美)沪闵路7940号,暂无信息 ,0,121.406827,31.136940
27,莲花国际广场,(闵行古美)沪闵路7866弄,2010年 ,0,121.402538,31.133711
28,南方休闲广场,(闵行古美)古方路18号,2005年 ,0,121.402278,31.132612
29,龙祥嘉园(别墅),(闵行古美)平阳路1515弄,2008年 ,0,121.382954,31.134152
30,莲花国际大厦,(闵行古美)沪闵路7866号,暂无信息 ,0,121.402616,31.133603
31,莲花国际广场,(闵行古美)沪闵路7866弄,2010年 ,0,121.402538,31.133711
32,宁谷国际,(闵行古美)沪闵路7940号,暂无信息 ,0,121.406827,31.136940
33,蓝色港湾(别墅),(闵行古美)龙茗路1458弄,2004年 ,0,121.384673,31.146973
34,和润家园(别墅),(闵行古美)龙茗路1897弄,2004年 ,66705,121.380468,31.153618
35,平阳路648弄,(闵行古美)平阳路648弄,暂无信息 ,0,121.398266,31.138403
36,平阳路1501号,(闵行古美)平阳路1501号,暂无信息 ,0,121.383524,31.134099
37,晶杰苑,(闵行古美)古美西路399弄,2012年 ,82075,121.394960,31.132604
38,同济融创玫瑰公馆,(闵行古美)莲花路1330号,2017-2020年 ,128976,121.396283,31.159114
39,万源城御溪(别墅),(闵行古美)平吉路688弄,2008年 ,144891,121.392319,31.145819
40,万源城尚郡,(闵行古美)万源路580弄,2012年 ,108509,121.397789,31.144108
41,江南星城(一期),(闵行古美)顾戴路1199弄（一期）,2004年 ,75274,121.389874,31.138243
42,万源城E1,(闵行古美)莲花路755弄,2007年 ,85624,121.397445,31.146796
43,东苑怡景园,(闵行古美)莲花路1058弄,2003-2008年 ,76313,121.398669,31.151641
44,一品漫城(五期),(闵行浦江)芦恒路378弄166-219号,2009-2019年 ,71211,121.490801,31.116904
45,一品漫城(四期)(公寓),(闵行浦江)芦恒路378弄141-165,2014-2015年 ,66272,121.490801,31.116904
46,永康城浦芳苑,(闵行浦江)盐铁塘路176弄,2014年 ,29367,121.511349,31.036169
47,永康城永锦苑,(闵行浦江)永颂路198弄,2014年 ,26988,121.502778,31.029364
48,永康城丽华园,(闵行浦江)盐铁塘路272弄,2014年 ,28685,121.508700,31.035827
49,海赋尚品,(闵行老闵行)瑞丽路918弄,2015-2016年 ,57967,121.403365,31.018805
50,马桥景城馨苑,(闵行老闵行)银林路1002弄,2014年 ,30513,121.370460,31.017310
51,华侨城(闵行),(闵行浦江)浦锦路1328号,2007-2012年 ,0,121.493052,31.094356
52,红宾花苑,(闵行老闵行)宾川路233弄,2000年 ,29777,121.413934,31.004316
53,永康城香樟苑,(闵行浦江)盐铁塘路435弄,2008-2015年 ,29313,121.506107,31.034560
54,滨浦新苑七村,(闵行浦江)浦雪南路369弄,2014年 ,36012,121.494833,31.066535
55,永康城和康苑,(闵行浦江)永颂路299弄,2014年 ,27202,121.500089,31.031555
56,新骏环路588号,(闵行浦江)新骏环路588号,暂无信息 ,0,121.524444,31.092161
57,保利茉莉公馆(商铺),(闵行浦江)浦秀路1536弄（一期）,2012-2015年 ,0,121.490187,31.095213
58,红星国际广场,(闵行浦江)联航路1818弄,2014年 ,0,121.511750,31.077886
59,永康城兴利苑,(闵行浦江)永高路255弄,2006-2014年 ,27378,121.497587,31.031490
60,西新路15弄,(闵行老闵行)西新路15弄,2006年 ,27944,121.417971,31.008671
61,浦江颐城(别墅),(闵行浦江)浦泉路399弄（一期）,2010-2013年 ,58121,121.498897,31.100697
62,陆家嘴红醍半岛(公寓),(闵行浦江)江柳路888弄,2010-2014年 ,74531,121.485463,31.099966
63,新浦江城(江栀路500弄),(闵行浦江)江栀路500弄,2009年 ,66104,121.492478,31.095852
64,满香苑,(闵行浦江)江龙路446弄2-5、7-10号,2013-2015年 ,55897,121.499229,31.070949
65,滨浦新苑四村,(闵行浦江)浦驰南路39弄,2007年 ,39445,121.503352,31.065452
66,香樟小筑,(闵行老闵行)江川路633弄,2000-2005年 ,0,121.418021,31.009156
67,万科翡翠别墅,(闵行浦江)江桃路556弄,2000-2015年 ,103143,121.485857,31.107719
68,南洋瑞都剑桥府邸(公寓),(闵行老闵行)金平路777弄1-167号,2005-2006年 ,47718,121.410186,31.011282
69,瑞丽名邸,(闵行老闵行)瑞丽路528弄,2012年 ,40934,121.406170,31.011281
70,景舒苑六村,(闵行浦江)浦瑞路369弄,2005-2006年 ,41059,121.490078,31.074682
71,浦江坤庭—璞御,(闵行浦江)浦秀路1386弄,2013-2016年 ,66427,121.489743,31.092166
72,万科早城(一期),(闵行浦江)北江榉路588弄,2012-2018年 ,0,121.486898,31.104716
73,旭辉浦江国际广场,(闵行浦江)联航路1650号,2011-2014年 ,0,121.513842,31.077334
74,景舒苑二村,(闵行浦江)浦秀路360弄,2007年 ,39658,121.495975,31.075943
75,一品漫城三期（别墅）,(闵行浦江)浦申路2639弄,2011-2012年 ,69087,121.491193,31.116853
76,丽都城假日景苑,(闵行老闵行)金平路328弄,2009年 ,51843,121.410186,31.011282
77,祥云新城,(闵行老闵行)江川路1777弄,2005-2012年 ,28095,121.370981,30.992676
78,浦江红星国际广场（商业类）,(闵行浦江)浦星公路1969号,2014年 ,0,121.511119,31.076663
79,金榜雅苑,(闵行老闵行)金平路777弄168-196号,2007年 ,53088,121.410186,31.011282
80,景舒苑三村,(闵行浦江)浦秀路183弄,2005-2006年 ,37775,121.495214,31.072585
81,郁宋小区,(闵行浦江)立跃路3700弄,暂无信息 ,0,121.499774,31.086981
82,中街155弄,(闵行老闵行)中街155弄,暂无信息 ,0,121.417971,31.008671
83,浦江人才公寓,(闵行浦江)联航路1369弄,2010年 ,0,121.521507,31.077347
84,奉贤四团小区,(闵行浦江)东陶家宅路90号,暂无信息 ,0,121.326660,31.205190
85,天星苑,(闵行老闵行)东川路3533弄,2005-2006年 ,33160,121.419901,31.018197
86,金铭福邸,(闵行老闵行)鹤庆路560弄,2003-2013年 ,44767,121.411000,31.010233
87,绿地峰尚汇,(闵行浦江)浦星公路1919弄,2014-2016年 ,0,121.510561,31.080125
88,永康城星华园,(闵行浦江)盐铁塘路565弄,2014年 ,25693,121.501423,31.034366
89,三弦海上金街,(闵行浦江)三鲁公路3003弄,2018年 ,0,121.522526,31.075216
90,永康城锦宏苑,(闵行浦江)永跃路550弄,2013-2015年 ,30080,121.510304,31.031153
91,永康城馨宁佳苑,(闵行浦江)永跃路555弄,2013年 ,29014,121.509715,31.031028
92,浦江坤庭—璞御,(闵行浦江)浦秀路1386弄,2013-2016年 ,66427,121.489743,31.092166
93,瑞丽名邸,(闵行老闵行)瑞丽路528弄,2012年 ,40934,121.406170,31.011281
94,滨浦新苑三村,(闵行浦江)江汉路200弄,2007年 ,37708,121.502962,31.068115
95,西新路15弄,(闵行老闵行)西新路15弄,2006年 ,27944,121.417971,31.008671
96,浦江颐城(别墅),(闵行浦江)浦泉路399弄（一期）,2010-2013年 ,58121,121.498897,31.100697
97,陆家嘴红醍半岛(别墅),(闵行浦江)江柳路888弄,2000-2014年 ,66625,121.485463,31.099966
98,绿地峰尚汇,(闵行浦江)浦星公路1919弄,2014-2016年 ,0,121.510561,31.080125
99,宝华源墅,(闵行浦江)三鲁公路5588号,2001-2019年 ,75499,121.509568,31.120158
100,万科公园大道,(闵行老闵行)富卓路789弄,2014-2018年 ,53623,121.380541,31.025126
101,君临六六公寓,(闵行老闵行)碧江路299弄,2006年 ,44036,121.403321,31.006085
102,万科早城(二期),(闵行浦江)北江榉路688弄,2013-2015年 ,0,121.484315,31.104001
103,新骏环路588号,(闵行浦江)新骏环路588号,暂无信息 ,0,121.524444,31.092161
104,保利茉莉公馆(商铺),(闵行浦江)浦秀路1536弄（一期）,2012-2015年 ,0,121.490187,31.095213
105,红星国际广场,(闵行浦江)联航路1818弄,2014年 ,0,121.511750,31.077886
106,浦江意优,(闵行浦江)恒南路1111弄,2016年 ,0,121.514246,31.079739
107,当代万国府MOMA,(闵行老闵行)沧源路588弄,2015-2017年 ,69033,121.429483,31.009925
108,紫罗兰花苑,(闵行老闵行)兰坪路136弄,2001年 ,31068,121.420175,31.001195
109,新浦江城（四期）,(闵行浦江)浦驰路1335弄（四期）,2009-2015年 ,59845,121.494716,31.093503
110,浦江世博家园二街坊,(闵行浦江)浦申路633弄,2005-2006年 ,51956,121.501591,31.082582
111,新浦江城(浦驰路1336弄),(闵行浦江)浦驰路1336弄（八期）,2009-2019年 ,84480,121.497540,31.094096
112,万科城,(闵行老闵行)银春路2200弄,2002-2016年 ,45614,121.386817,31.025653
113,浦江世博家园七街坊,(闵行浦江)南江燕路69弄,2005-2006年 ,45436,121.505700,31.077933
114,华侨城loft,(闵行浦江)浦锦路1266弄,2012年 ,0,121.493387,31.092455
115,浦江坤庭—翠御,(闵行浦江)浦秀路1385弄,2013年 ,62956,121.489422,31.092225
116,鹤庆苑,(闵行老闵行)安宁路330弄,2000年 ,42329,121.416015,31.014402
117,凤凰景苑,(闵行老闵行)景谷中路58弄,2015-2018年 ,66169,121.417754,31.020896
118,万科VMO花园广场,(闵行浦江)浦锦路2049弄,2011年 ,0,121.484434,31.109663
119,浦江世博家园六街坊,(闵行浦江)北江燕路338弄,2006-2007年 ,49816,121.500160,31.079574
120,文化礼品城小区,(闵行老闵行)江川路1565弄,2005-2007年 ,0,121.418021,31.009156
121,保利茉莉公馆二期,(闵行浦江)浦秀路1535弄,2012-2015年 ,85991,121.485741,31.094234
122,景舒苑四村,(闵行浦江)浦秀路220弄,2005-2006年 ,39447,121.496935,31.073105
123,中景水岸,(闵行老闵行)瑞丽路768弄,2012-2013年 ,46451,121.404465,31.015948
124,源枫景苑,(闵行老闵行)永平南路203弄,2010-2011年 ,52179,121.432097,31.010886
125,浦江世博家园十五街坊,(闵行浦江)联航路2165弄,2005-2006年 ,43239,121.502032,31.071736
126,一品漫城(一期)(别墅),(闵行浦江)浦星公路568弄47-145号,2008年 ,68652,121.493919,31.118556
127,景舒苑五村西区,(闵行浦江)浦秀路49弄,2006-2007年 ,40790,121.496230,31.070176
128,紫竹苑(闵行),(闵行老闵行)江川东路839弄,2002年 ,40382,121.426636,31.007065
129,华侨城十号院,(闵行浦江)浦驰路1628弄,2014年 ,0,121.495700,31.099927
130,友好佳苑,(闵行老闵行)江川路680弄,2011年 ,32556,121.418021,31.009156
131,永康城佳兴苑,(闵行浦江)永跃路782弄,2014年 ,28199,121.511183,31.034282
132,一品漫城四期（别墅）,(闵行浦江)芦恒路378弄,2014-2018年 ,66790,121.490801,31.116904
133,东苑佳和园,(闵行老闵行)永平南路198弄,2010-2014年 ,47347,121.434962,31.012271
134,新浦江城(江桦路199弄),(闵行浦江)江桦路199弄（一期）,2000-2006年 ,117421,121.496794,31.102962
135,新浦江城(江柳路400弄),(闵行浦江)江柳路400弄（一期）,2006-2007年 ,0,121.495024,31.101580
136,新浦江城(江桦路600弄),(闵行浦江)江桦路600弄（一期）,2005-2006年 ,75076,121.491721,31.104185
137,新浦江城(浦锦路1658弄),(闵行浦江)浦锦路1658弄（二期）,2010年 ,79557,121.493668,31.099537
138,当代万国府MOMA,(闵行老闵行)沧源路588弄,2015-2017年 ,69033,121.429483,31.009925
139,紫罗兰花苑,(闵行老闵行)兰坪路136弄,2001年 ,31068,121.420175,31.001195
140,保利佳苑,(闵行老闵行)富国路39弄,2014年 ,33156,121.379073,31.019764
141,浦江意优,(闵行浦江)恒南路1111弄,2016年 ,0,121.514246,31.079739
142,永康城兴利苑,(闵行浦江)永高路255弄,2006-2014年 ,27378,121.497587,31.031490
143,永康城香樟苑,(闵行浦江)盐铁塘路435弄,2008-2015年 ,29313,121.506107,31.034560
144,红宾花苑,(闵行老闵行)宾川路233弄,2000年 ,29777,121.413934,31.004316
145,滨浦新苑七村,(闵行浦江)浦雪南路369弄,2014年 ,36012,121.494833,31.066535
146,浦江颐城晶寓,(闵行浦江)浦泉路399弄（一期）,2009-2014年 ,69239,121.498897,31.100697
147,新浦江城(浦驰路1809弄),(闵行浦江)浦驰路1809弄（二期）,2010年 ,62895,121.491648,31.101786
148,新浦江城(江柳路200弄)(别墅),(闵行浦江)江柳路200弄（一期）,2008年 ,0,121.498732,31.102353
149,绿地璀璨天城,(闵行老闵行)富国路355弄,2014-2016年 ,46315,121.377918,31.023778
150,浦江世博家园十四街坊,(闵行浦江)联航路2015弄,2006年 ,46494,121.505245,31.072542
151,景舒苑八村,(闵行浦江)浦鸥路186弄,2006年 ,39277,121.490745,31.071405
152,滨浦新苑一村,(闵行浦江)浦驰南路238弄,2007-2009年 ,43613,121.505667,31.068941
153,滨浦新苑四村,(闵行浦江)浦驰南路39弄,2007年 ,39445,121.503352,31.065452
154,瑞丽名邸,(闵行老闵行)瑞丽路528弄,2012年 ,40934,121.406170,31.011281
155,浦江坤庭—璞御,(闵行浦江)浦秀路1386弄,2013-2016年 ,66427,121.489743,31.092166
156,丽都城假日景苑,(闵行老闵行)金平路328弄,2009年 ,51843,121.410186,31.011282
157,旭辉浦江国际广场,(闵行浦江)联航路1650号,2011-2014年 ,0,121.513842,31.077334
158,景舒苑二村,(闵行浦江)浦秀路360弄,2007年 ,39658,121.495975,31.075943
159,祥云新城,(闵行老闵行)江川路1777弄,2005-2012年 ,28095,121.370981,30.992676
160,金榜人家,(闵行老闵行)石屏路399弄,2004-2006年 ,47649,121.418436,31.017007
161,剑桥丽苑,(闵行老闵行)凤庆路150弄,2005-2006年 ,45329,121.414760,31.021446
162,安宁欧洲花园,(闵行老闵行)安宁路379弄,2000-2002年 ,49428,121.417256,31.015748
163,滨浦新苑五村,(闵行浦江)浦雪南路366弄,2014年 ,40622,121.498287,31.067206
164,永康城丽华园,(闵行浦江)盐铁塘路272弄,2014年 ,28685,121.508700,31.035827
165,滨浦新苑八村,(闵行浦江)浦瑞南路76弄,2014-2015年 ,33781,121.495178,31.063329
166,浦江科技广场,(闵行浦江)陈行路2388号,2014年 ,0,121.507393,31.097195
167,永康城玉兰苑,(闵行浦江)闸航路4398弄,2015年 ,25974,121.499200,31.021104
168,新骏环路588弄,(闵行浦江)新骏环路588弄,2000年 ,0,121.524444,31.092161
169,浦江世博家园十二街坊,(闵行浦江)浦驰路235弄,2007年 ,50525,121.502310,31.075213
170,旭辉浦江国际广场(酒店式公寓),(闵行浦江)恒南路899号,2013年 ,0,121.514824,31.078009
171,景舒苑东十村,(闵行浦江)浦雪路53弄,2007年 ,41610,121.495150,31.070062
172,新浦江城(浦申路1288弄),(闵行浦江)浦申路1288弄（五期）（七期）,2012-2014年 ,74024,121.536351,31.209640
173,浦江世博家园八街坊,(闵行浦江)南江燕路229弄,2005-2008年 ,47259,121.502801,31.077502
174,华侨城幸福港湾,(闵行浦江)浦驰路1528号,2012年 ,0,121.495015,31.097623
175,浦江世博家园四街坊,(闵行浦江)北江燕路68弄,2005-2008年 ,50608,121.504323,31.080611
176,浦江世博家园九街坊,(闵行浦江)浦驰路345弄,2005-2006年 ,47937,121.500941,31.076736
177,景舒苑七村,(闵行浦江)浦雪路351弄,2006年 ,41358,121.491833,31.075153
178,浦江华侨城6期,(闵行浦江)浦晓路112弄,2013-2018年 ,72906,121.503465,31.096371
179,新浦江城（四期）,(闵行浦江)浦驰路1335弄（四期）,2009-2015年 ,59845,121.494716,31.093503
180,浦江世博家园二街坊,(闵行浦江)浦申路633弄,2005-2006年 ,51956,121.501591,31.082582
181,新浦江城(浦驰路1336弄),(闵行浦江)浦驰路1336弄（八期）,2009-2019年 ,84480,121.497540,31.094096
182,万科城,(闵行老闵行)银春路2200弄,2002-2016年 ,45614,121.386817,31.025653
